,name,rating,reviews,salary,jobs
0,TCS,3.8,69.3k,847.2k,534
1,Accenture,4.0,43.9k,578.5k,7.5k
2,Cognizant,3.9,39.6k,557.5k,549
3,Wipro,3.8,36.9k,410.8k,325
4,HDFC Bank,3.9,31.8k,130k,473
5,ICICI Bank,4.0,31.7k,142.4k,215
6,Infosys,3.9,30k,461.7k,957
7,Capgemini,3.8,27.9k,371.7k,915
8,HCLTech,3.7,26.7k,286.3k,647
9,Tech Mahindra,3.7,26.1k,250.7k,1.2k
10,Genpact,3.9,24.9k,189.1k,1.1k
11,Axis Bank,3.8,20.8k,96.1k,309
12,Concentrix Corporation,3.9,20.6k,103.4k,112
13,Amazon,4.1,19.8k,140.8k,676
14,Teleperformance,3.6,19.6k,74.3k,278
15,Reliance Jio,3.9,19k,67.6k,151
16,IBM,4.1,18.9k,224k,4k
17,Larsen & Toubro Limited,4.0,17.7k,78.2k,180
18,Reliance Retail,3.9,17.3k,57k,248
19,HDB Financial Services,4.0,16.7k,49.6k,67
20,Vodafone Idea,4.2,14.8k,61.2k,342
21,BYJU'S,3.1,13.9k,55.5k,913
22,Deloitte,3.9,13.7k,173.1k,288
23,Kotak Mahindra Bank,3.8,13.4k,77.2k,322
24,Reliance Industries,4.0,12.6k,65.8k,35
25,Bharti Airtel,4.0,11.6k,44.4k,309
26,Tata Motors,4.2,10.6k,42.5k,18
27,iEnergizer,4.6,10.3k,17.4k,94
28,Flipkart,4.1,9.3k,46.7k,460
29,WNS,3.5,9.1k,54.1k,180
30,IndusInd Bank,3.7,8.6k,46.3k,252
31,Mahindra & Mahindra,4.1,8.4k,37.9k,96
32,Ernst & Young,3.6,8.4k,122.2k,1.8k
33,AU Small Finance Bank,4.5,8.3k,18.1k,172
34,Infosys BPM,3.9,7.9k,57.3k,66
35,DXC Technology,3.8,7.8k,82.8k,141
36,IDFC FIRST Bank,4.0,7.6k,38.6k,78
37,Conneqt Business Solutions,3.7,7.3k,25k,50
38,HDFC Life,4.0,7.2k,25.8k,115
39,LTIMindtree,3.7,7.1k,93.1k,37
40,Bajaj Finserv,4.0,6.8k,24.9k,43
41,Mphasis,3.5,6.6k,63.6k,75
42,HSBC Group,4.1,6.6k,61k,26
43,PwC,3.6,6.6k,81.1k,531
44,Samsung,4.1,6.5k,21.5k,257
45,Hinduja Global Solutions,3.9,6.5k,25.6k,26
46,Startek,3.2,6.5k,22.8k,34
47,Ericsson,4.3,6.3k,45k,75
48,Maruti Suzuki,4.2,6.2k,25.5k,25
49,Yes Bank,3.9,6k,40.8k,20
50,Asian Paints,4.1,6k,21.2k,99
51,Cipla Pharmaceutical,4.1,5.8k,24k,50
52,Dr. Reddy's,4.1,5.8k,24k,136
53,Sutherland Global Services,3.8,5.7k,27.3k,167
54,EXL Service,3.8,5.6k,36.4k,180
55,UltraTech Cement,4.2,5.6k,20.9k,13
56,NTT DATA,4.0,5.5k,52.5k,89
57,Bandhan Bank,3.8,5.4k,18.9k,27
58,ICICI Prudential Life Insurance,4.1,5.4k,22.3k,259
59,TATA Steel,4.1,5.4k,22.1k,19
60,Paytm,3.4,5.4k,29.8k,587
61,Jana Small Finance Bank,3.8,5.3k,15.6k,136
62,Lupin,4.1,5.2k,22.7k,19
63,HCL Group,3.7,5.2k,71.2k,1
64,Indian Army,4.7,5.1k,9.9k,--
65,Bajaj Finance,4.0,5.1k,19.3k,113
66,Udaan,4.0,5.1k,19.7k,295
67,L&T Infotech,3.8,5k,74.4k,138
68,ITC,3.9,4.9k,22.9k,68
